site,margin,se1,power,alpha,prev_inOSCC,prev_inOSCC+OPMD,n_site,n_OSCC,n_OSCC+OPMD
A,0.05,0.75,0.8,0.05,34.44%,10.65%,289,840,2713
A,0.04,0.75,0.8,0.05,34.44%,10.65%,451,1310,4234
A,0.03,0.75,0.8,0.05,34.44%,10.65%,801,2326,7520
A,0.02,0.75,0.8,0.05,34.44%,10.65%,1801,5229,16907
A,0.01,0.75,0.8,0.05,34.44%,10.65%,7203,20912,67616
A,0.05,0.8,0.8,0.05,34.44%,10.65%,246,715,2310
A,0.04,0.8,0.8,0.05,34.44%,10.65%,385,1118,3615
A,0.03,0.8,0.8,0.05,34.44%,10.65%,683,1983,6412
A,0.02,0.8,0.8,0.05,34.44%,10.65%,1537,4463,14428
A,0.01,0.8,0.8,0.05,34.44%,10.65%,6147,17847,57703
A,0.05,0.85,0.8,0.05,34.44%,10.65%,196,570,1840
A,0.04,0.85,0.8,0.05,34.44%,10.65%,307,892,2882
A,0.03,0.85,0.8,0.05,34.44%,10.65%,545,1583,5116
A,0.02,0.85,0.8,0.05,34.44%,10.65%,1225,3557,11500
A,0.01,0.85,0.8,0.05,34.44%,10.65%,4898,14220,45978
A,0.05,0.9,0.8,0.05,34.44%,10.65%,139,404,1305
A,0.04,0.9,0.8,0.05,34.44%,10.65%,217,630,2037
A,0.03,0.9,0.8,0.05,34.44%,10.65%,385,1118,3615
A,0.02,0.9,0.8,0.05,34.44%,10.65%,865,2512,8120
A,0.01,0.9,0.8,0.05,34.44%,10.65%,3458,10040,32461
A,0.05,0.8279569892473119,0.8,0.05,34.44%,10.65%,219,636,2056
A,0.04,0.8279569892473119,0.8,0.05,34.44%,10.65%,342,993,3211
A,0.03,0.8279569892473119,0.8,0.05,34.44%,10.65%,608,1766,5708
A,0.02,0.8279569892473119,0.8,0.05,34.44%,10.65%,1368,3972,12842
A,0.01,0.8279569892473119,0.8,0.05,34.44%,10.65%,5472,15887,51367
A,0.027956989247311825,0.8279569892473119,0.8,0.05,34.44%,10.65%,701,2036,6581
B,0.05,0.75,0.8,0.05,13.33%,4.12%,289,2168,7009
B,0.04,0.75,0.8,0.05,13.33%,4.12%,451,3383,10937
B,0.03,0.75,0.8,0.05,13.33%,4.12%,801,6008,19425
B,0.02,0.75,0.8,0.05,13.33%,4.12%,1801,13508,43675
B,0.01,0.75,0.8,0.05,13.33%,4.12%,7203,54023,174673
B,0.05,0.8,0.8,0.05,13.33%,4.12%,246,1845,5966
B,0.04,0.8,0.8,0.05,13.33%,4.12%,385,2888,9337
B,0.03,0.8,0.8,0.05,13.33%,4.12%,683,5123,16563
B,0.02,0.8,0.8,0.05,13.33%,4.12%,1537,11528,37273
B,0.01,0.8,0.8,0.05,13.33%,4.12%,6147,46103,149065
B,0.05,0.85,0.8,0.05,13.33%,4.12%,196,1470,4753
B,0.04,0.85,0.8,0.05,13.33%,4.12%,307,2303,7445
B,0.03,0.85,0.8,0.05,13.33%,4.12%,545,4088,13217
B,0.02,0.85,0.8,0.05,13.33%,4.12%,1225,9188,29707
B,0.01,0.85,0.8,0.05,13.33%,4.12%,4898,36735,118777
B,0.05,0.9,0.8,0.05,13.33%,4.12%,139,1043,3371
B,0.04,0.9,0.8,0.05,13.33%,4.12%,217,1628,5263
B,0.03,0.9,0.8,0.05,13.33%,4.12%,385,2888,9337
B,0.02,0.9,0.8,0.05,13.33%,4.12%,865,6488,20977
B,0.01,0.9,0.8,0.05,13.33%,4.12%,3458,25935,83857
B,0.05,0.8333333333333334,0.8,0.05,13.33%,4.12%,214,1605,5190
B,0.04,0.8333333333333334,0.8,0.05,13.33%,4.12%,334,2505,8100
B,0.03,0.8333333333333334,0.8,0.05,13.33%,4.12%,593,4448,14381
B,0.02,0.8333333333333334,0.8,0.05,13.33%,4.12%,1334,10005,32350
B,0.01,0.8333333333333334,0.8,0.05,13.33%,4.12%,5336,40020,129398
B,0.033333333333333326,0.8333333333333334,0.8,0.05,13.33%,4.12%,481,3608,11665
C,0.05,0.75,0.8,0.05,27.04%,8.36%,289,1069,3457
C,0.04,0.75,0.8,0.05,27.04%,8.36%,451,1669,5394
C,0.03,0.75,0.8,0.05,27.04%,8.36%,801,2963,9580
C,0.02,0.75,0.8,0.05,27.04%,8.36%,1801,6662,21538
C,0.01,0.75,0.8,0.05,27.04%,8.36%,7203,26642,86140
C,0.05,0.8,0.8,0.05,27.04%,8.36%,246,910,2942
C,0.04,0.8,0.8,0.05,27.04%,8.36%,385,1424,4605
C,0.03,0.8,0.8,0.05,27.04%,8.36%,683,2527,8168
C,0.02,0.8,0.8,0.05,27.04%,8.36%,1537,5685,18381
C,0.01,0.8,0.8,0.05,27.04%,8.36%,6147,22736,73512
C,0.05,0.85,0.8,0.05,27.04%,8.36%,196,725,2344
C,0.04,0.85,0.8,0.05,27.04%,8.36%,307,1136,3672
C,0.03,0.85,0.8,0.05,27.04%,8.36%,545,2016,6518
C,0.02,0.85,0.8,0.05,27.04%,8.36%,1225,4531,14650
C,0.01,0.85,0.8,0.05,27.04%,8.36%,4898,18116,58575
C,0.05,0.9,0.8,0.05,27.04%,8.36%,139,515,1663
C,0.04,0.9,0.8,0.05,27.04%,8.36%,217,803,2596
C,0.03,0.9,0.8,0.05,27.04%,8.36%,385,1424,4605
C,0.02,0.9,0.8,0.05,27.04%,8.36%,865,3200,10345
C,0.01,0.9,0.8,0.05,27.04%,8.36%,3458,12790,41354
C,0.05,0.7671232876712328,0.8,0.05,27.04%,8.36%,275,1018,3289
C,0.04,0.7671232876712328,0.8,0.05,27.04%,8.36%,429,1587,5131
C,0.03,0.7671232876712328,0.8,0.05,27.04%,8.36%,763,2823,9125
C,0.02,0.7671232876712328,0.8,0.05,27.04%,8.36%,1716,6347,20522
C,0.01,0.7671232876712328,0.8,0.05,27.04%,8.36%,6863,25384,82074
C,0.017123287671232834,0.7671232876712328,0.8,0.05,27.04%,8.36%,2341,8659,27996
ABC,0.05,0.75,0.8,0.05,74.81%,23.14%,289,387,1249
ABC,0.04,0.75,0.8,0.05,74.81%,23.14%,451,603,1950
ABC,0.03,0.75,0.8,0.05,74.81%,23.14%,801,1071,3462
ABC,0.02,0.75,0.8,0.05,74.81%,23.14%,1801,2408,7784
ABC,0.01,0.75,0.8,0.05,74.81%,23.14%,7203,9628,31130
ABC,0.05,0.8,0.8,0.05,74.81%,23.14%,246,329,1064
ABC,0.04,0.8,0.8,0.05,74.81%,23.14%,385,515,1664
ABC,0.03,0.8,0.8,0.05,74.81%,23.14%,683,913,2952
ABC,0.02,0.8,0.8,0.05,74.81%,23.14%,1537,2055,6643
ABC,0.01,0.8,0.8,0.05,74.81%,23.14%,6147,8217,26566
ABC,0.05,0.85,0.8,0.05,74.81%,23.14%,196,262,848
ABC,0.04,0.85,0.8,0.05,74.81%,23.14%,307,411,1327
ABC,0.03,0.85,0.8,0.05,74.81%,23.14%,545,729,2356
ABC,0.02,0.85,0.8,0.05,74.81%,23.14%,1225,1638,5295
ABC,0.01,0.85,0.8,0.05,74.81%,23.14%,4898,6547,21169
ABC,0.05,0.9,0.8,0.05,74.81%,23.14%,139,186,601
ABC,0.04,0.9,0.8,0.05,74.81%,23.14%,217,291,938
ABC,0.03,0.9,0.8,0.05,74.81%,23.14%,385,515,1664
ABC,0.02,0.9,0.8,0.05,74.81%,23.14%,865,1157,3739
ABC,0.01,0.9,0.8,0.05,74.81%,23.14%,3458,4623,14945
ABC,0.05,0.806930693069307,0.8,0.05,74.81%,23.14%,240,321,1038
ABC,0.04,0.806930693069307,0.8,0.05,74.81%,23.14%,375,502,1621
ABC,0.03,0.806930693069307,0.8,0.05,74.81%,23.14%,665,889,2874
ABC,0.02,0.806930693069307,0.8,0.05,74.81%,23.14%,1497,2001,6470
ABC,0.01,0.806930693069307,0.8,0.05,74.81%,23.14%,5985,8000,25866
ABC,0.006930693069306937,0.806930693069307,0.8,0.05,74.81%,23.14%,12460,16655,53850
